case_id,eventlog_edit_distance,policy_edit_distance,sequence_length,eventlog_normalized_distance,policy_normalized_distance
Application_220402598,0,0,23,0.0,0.0
Application_223366470,0,0,37,0.0,0.0
Application_24648067,0,0,26,0.0,0.0
Application_268676496,0,0,48,0.0,0.0
Application_283012951,0,0,46,0.0,0.0
Application_299986859,0,0,31,0.0,0.0
Application_319587802,0,0,47,0.0,0.0
Application_323012882,0,0,36,0.0,0.0
Application_340403559,0,0,25,0.0,0.0
Application_347136910,0,0,39,0.0,0.0
Application_347787380,0,0,42,0.0,0.0
Application_351152063,0,0,29,0.0,0.0
Application_354702724,0,0,33,0.0,0.0
Application_369018038,0,0,22,0.0,0.0
Application_369105792,0,0,19,0.0,0.0
Application_37839400,0,0,41,0.0,0.0
Application_387012864,0,0,21,0.0,0.0
Application_395903076,0,0,28,0.0,0.0
Application_396349881,0,0,36,0.0,0.0
Application_421364849,0,0,42,0.0,0.0
Application_42838382,0,0,33,0.0,0.0
Application_428409768,0,0,45,0.0,0.0
Application_430902047,0,0,44,0.0,0.0
Application_446334558,0,0,25,0.0,0.0
Application_470922426,0,0,38,0.0,0.0
Application_484278024,0,0,49,0.0,0.0
Application_485131054,0,0,31,0.0,0.0
Application_486645986,0,0,60,0.0,0.0
Application_493034835,0,0,27,0.0,0.0
Application_505474597,0,0,36,0.0,0.0
Application_525275343,0,0,36,0.0,0.0
Application_53530491,0,0,26,0.0,0.0
Application_54405635,0,0,22,0.0,0.0
Application_546206358,0,0,27,0.0,0.0
Application_547462088,0,0,26,0.0,0.0
Application_584603670,0,0,63,0.0,0.0
Application_587387633,0,0,31,0.0,0.0
Application_58755651,0,0,38,0.0,0.0
Application_593655901,0,0,29,0.0,0.0
Application_60181210,0,0,47,0.0,0.0
Application_619403287,0,0,34,0.0,0.0
Application_652823628,0,0,40,0.0,0.0
Application_663648942,0,0,31,0.0,0.0
Application_665878125,0,0,24,0.0,0.0
Application_675073178,0,0,57,0.0,0.0
Application_709929024,0,0,36,0.0,0.0
Application_74505494,0,0,27,0.0,0.0
Application_758985626,0,0,41,0.0,0.0
Application_767475240,0,0,71,0.0,0.0
Application_774787486,0,0,33,0.0,0.0
Application_798605556,0,0,23,0.0,0.0
Application_803879893,0,0,53,0.0,0.0
Application_807916303,0,0,71,0.0,0.0
Application_813133375,0,0,55,0.0,0.0
Application_821425679,0,0,37,0.0,0.0
Application_822724921,0,0,49,0.0,0.0
Application_828200680,0,0,21,0.0,0.0
Application_842511489,0,0,27,0.0,0.0
